제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수,Disabled,en,pt,es,ja,vi,unk,id,ko,fr,it,ru,de,zh-CN,ar,zh-TW,th,fa
[최초공개] Kep1er(케플러) - Shine (Kep1er Ver.) (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,266,medium,4545912,196307,4957,0,56,2,4,6,3,2,4,16,2,2,0,2,0,0,0,0,0
[ITZY VLOG] YUNA's Graduation VLOG, Entertainment,763,medium,4261508,295037,5955,0,53,1,6,2,4,3,5,23,0,0,0,0,0,1,0,1,1
더보이즈 (THE BOYZ) - ‘Echo' MV (나 혼자만 레벨업 OST), Music,254,medium,4344648,106502,5922,0,68,2,11,0,3,3,5,5,0,0,0,1,0,1,0,0,0
[EPISODE] BTS (방탄소년단) @ 2021 iHeartRadio Jingle Ball, Music,631,medium,3854765,653588,18151,0,57,2,11,1,5,6,4,7,0,2,1,0,0,2,0,0,2
♨핫클립♨ ＂원곡으로 착각할 정도..＂ 공감과 상상을 자극하는 목소리 33호 가수 '제발'｜싱어게인2｜JTBC 220124 방송, Entertainment,540,medium,3184227,36833,3901,0,0,0,0,0,0,1,0,99,0,0,0,0,0,0,0,0,0
ITZY - WANNABE + LOCO [유희열의 스케치북/You Heeyeol’s Sketchbook] | KBS 220107 방송, Music,349,medium,2981328,101607,2612,0,38,1,7,2,3,2,5,37,1,0,0,2,1,0,0,0,1
[미니팡 에스파냐] 미니특공대 | 색깔 피자 먹기 | 모양놀이 | 에스파냐어 | 스페인어| Color play | Mini-Pang TV 3D Play, Film & Animation,311,medium,2928215,12641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오프닝토크, Entertainment,1147,medium,2651998,20725,1118,0,7,1,0,0,0,3,0,89,0,0,0,0,0,0,0,0,0
♨핫클립♨ ＂이선희 선배님 곡＂ 더 진해진 보컬의 아기 기타리스트♥ 64호 가수 '추억의 책장을 넘기면'｜싱어게인2｜JTBC 220110 방송, Entertainment,603,medium,2313532,25930,1642,0,2,0,0,0,0,3,0,95,0,0,0,0,0,0,0,0,0
[찜꽁습꽁] 10년 전 💖차준환💖 선수의 귀염뽀짝 피겨 꿈나무 시절 모음!ㅣ김연아의 Kiss & CryㅣSBS ENTER., Entertainment,951,medium,2245781,23010,1490,0,3,1,0,1,0,1,0,92,0,0,2,0,0,0,0,0,0
[놀면 뭐하니?] 막내 재석은 오랜만이지? 오디오가 비질 않는 조동아리 형님들과의 만남 MBC 220219 방송 (Hangout with Yoo), Entertainment,895,medium,2242240,27277,1901,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
[놀면 뭐하니?] 재석&미주 영입썰 푼다.txt 세배특공대 with 유희열 MBC 220129 방송 (Hangout with Yoo), Entertainment,895,medium,2083827,22749,1258,0,2,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
다시보면 보이는 소름돋는 시크릿 가든 엔딩! 손예진이 여기서 왜 나와...?😮 #시크릿가든 #모았캐치 #SBSCatch, Entertainment,1166,medium,2042615,9630,825,0,3,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0
"♨핫클립♨ ＂해리 씨, 턱 괜찮아요?＂ 슈퍼 어게인 값을 톡톡히 해 낸 37호 가수 '걱정말아요 그대'｜싱어게인2｜JTBC 220110 방송", Entertainment,517,medium,1996962,24626,2281,0,1,0,0,0,0,4,0,94,0,0,0,1,0,0,0,0,0
미니팡 교육동요 | 알록달록 동요 모아보기 2편 | 미끄럼틀 | 목욕놀이 | 자판기 | 주스 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,1013,medium,1941386,7821,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"♨핫클립♨ “힘들었던 시기에 힘이 되어 준 노래.” 듣기만 해도 눈물 나는 명곡,, ’한숨’ 부르는 33호 가수｜JTBC 220117 방송", Entertainment,528,medium,1853674,24182,1848,0,2,0,0,0,0,1,0,96,0,0,0,1,0,0,0,0,0
[2021 가요대전 4K] aespa(에스파) - Next Level+Savage @가요대전 Gayo Daejeon 20211225, Entertainment,447,medium,1803852,78134,2057,0,47,2,2,0,1,1,5,35,0,0,0,4,0,0,1,1,0
[하이라이트] 시즌2 라인업 실화? ‘어쩌다 알바생’을 소개합니다! #어쩌다사장2 EP.1, Entertainment,347,medium,1750476,19310,2081,0,20,0,0,0,0,1,0,78,0,0,0,0,0,0,0,1,0
※잘생긴 얼굴 항시대기※ ★잘생기기로 깊은 신용★ ✨비주얼캠/4K✨ ENHYPEN(엔하이픈) - Polaroid Love [ENG], Entertainment,453,medium,1730378,220517,5082,0,58,1,4,2,5,8,12,9,0,0,0,0,0,0,0,0,1
[Kep1er - WA DA DA] Hot Debut Stage | #엠카운트다운 EP.735 | Mnet 220113 방송, Entertainment,311,medium,1682723,93539,1956,0,57,5,8,5,3,5,3,9,1,1,1,1,1,0,0,0,0
자연스러운PPL, Entertainment,653,medium,1555147,15148,764,0,5,1,0,0,0,1,1,92,0,0,0,0,0,0,0,0,0
♨핫클립♨ ＂아무나 갖지 못하는 능력..＂ 진한 여운에 허덕이게 만든 7호 가수 '내 마음 갈 곳을 잃어'｜싱어게인2｜JTBC 220117 방송, Entertainment,511,medium,1543001,14418,1074,0,2,0,0,0,0,2,0,96,0,0,0,0,0,0,0,0,0
‘최초 공개’ 믿듣탱🎧 ‘태연’의 ‘INVU’ 무대, Entertainment,288,medium,1500191,75789,2797,0,22,1,1,0,2,4,1,65,0,1,1,1,0,0,0,0,0
[Full Ver.] 절친 콘서트 선예 & JYP - 대낮에 한 이별 #엄마는아이돌 EP.6, Entertainment,275,medium,1453292,23371,1962,0,4,0,0,0,0,1,0,95,0,0,0,0,0,0,0,0,0
🔊코로나19 자가검사키트 올바른 사용방법과 행동수칙, Education,257,medium,1446840,6799,595,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"♨핫클립♨ ＂피아노 웨이브..＂ 말 그대로 찢으셨어요,, 역대급 무대 갱신↗ 31호 가수 '그건 너'｜싱어게인2｜JTBC 220207 방송", Entertainment,719,medium,1402089,15858,1221,0,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0
"[최고의 5분] 이승윤, 자연인 촬영 중 죽다 살아났다 MBN 220206 방송", Entertainment,529,medium,1364753,17628,634,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
[제36회 골든디스크] 임영웅 - '사랑은 늘 도망가 + 별빛 같은 나의 사랑아'♪｜JTBC 220108 방송, Entertainment,469,medium,1354983,31557,1268,0,0,0,0,0,0,2,0,98,0,0,0,0,0,0,0,0,0
SUPER JUNIOR 슈퍼주니어 'Callin'' MV (Winter for Spring ver.), Music,250,medium,1347306,155678,26600,0,21,4,47,0,4,3,12,2,0,2,0,1,0,1,0,0,0
[놀면 뭐하니?] 새해부터 디*패치급 찐친 폭로전! 세배특공대 with 송은이 MBC 220129 방송 (Hangout with Yoo), Entertainment,649,medium,1275106,13292,446,0,0,0,0,0,0,1,0,99,0,0,0,0,0,0,0,0,0
"리얼먹방▶ 너무 쉬운 ""쫄면"" 레시피 ☆ ft.군만두ㅣ Jjolmyeon & MandooㅣREAL SOUNDㅣASMR MUKBANGㅣ", Entertainment,801,medium,1334979,41024,1390,0,38,0,1,5,0,12,6,31,0,1,4,0,0,0,1,1,0
[TREASURE - JIKJIN] Comeback Stage | #엠카운트다운 EP.741 | Mnet 220224 방송, Entertainment,281,medium,1231400,160403,4373,0,50,1,0,3,3,4,29,6,0,0,0,1,0,0,0,0,0
TAEYEON(태연) - INVU @인기가요 inkigayo 20220220, Entertainment,266,medium,1225948,65877,1318,0,33,0,4,0,2,3,2,52,1,0,0,1,0,0,2,0,0
[#부모는처음이라] ADHD로 착각한 딸의 지적 장애..! 아이와 관계의 두려움 극복하고 잘 훈육할 수 있을까요? | 금쪽같은 내새끼 85회, People & Blogs,884,medium,1151352,8329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLICK HERE FOR NORAH FATEHI, Comedy,758,medium,1147579,153053,2197,0,67,0,0,0,5,7,13,0,1,6,0,0,0,0,0,0,0
"[리무진서비스] EP01. (여자)아이들 민니 | (G)I-DLE MINNIE | Senorita, 구애, 신호등, Lost Stars | TH/EN", Music,1182,medium,1123278,90149,4166,0,48,3,0,0,1,5,1,23,0,0,0,2,0,0,0,17,0
아기 상어 원곡 가수 등판! 귀요미 뿜뿜!! #너목보9 #최보배 #너의_정체가_보여, Entertainment,531,medium,1115895,13292,584,0,0,0,0,0,0,6,1,93,0,0,0,0,0,0,0,0,0
