제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수,Disabled,id,en,ko,es,unk,it,pt,zh-TW,fr,ja,vi,de,fa,ru,zh-CN,th,ar,hi
Galaxy Tab S8 Ultra: Official Launch Film | Samsung, Science & Technology,31,short,4238454,2754,147,0,5,73,2,1,2,0,1,0,1,0,1,1,0,1,0,0,0,0
헤이마마X몽키매직｜JTBC봐야지 #shorts, Entertainment,31,short,4032221,89023,940,0,0,0,97,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"[광고] 현대자동차 자율주행 ""모두의 자율주행이 될 때까지"" - 본편", Cars & Vehicles,31,short,3895871,208,55,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
미니팡 교육동요 | 알록달록 미끄럼틀 | 토끼 | 오리 | 염소 | 돼지 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,132,short,3717587,12306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stray Kids ""ODDINARY"" Main Trailer", Music,211,short,3637463,776819,42815,0,6,52,0,13,5,4,9,0,0,0,1,1,0,2,0,0,0,0
Galaxy Tab S8 Ultra: Official Introduction | Samsung, Science & Technology,95,short,3491768,22286,1148,0,2,89,0,0,0,1,0,0,1,0,1,3,0,2,0,0,1,0
Kep1er(케플러) - WA DA DA @인기가요 inkigayo 20220123, Entertainment,199,short,3306567,99732,1750,0,4,43,43,1,2,0,1,0,0,2,2,0,1,0,1,0,0,0
마마돌 (M.M.D) - 우아힙 (WooAh HIP) Performance Video, Music,192,short,3063661,161178,6598,0,2,54,2,22,5,1,5,0,0,1,4,3,0,0,0,0,0,0
"NMIXX ""O.O"" M/V Teaser", Music,47,short,3027745,279491,15857,0,3,49,6,14,6,0,1,0,0,2,19,0,0,0,0,0,0,0
#AsianQualifiers - Group B | Vietnam 3 - 1 China PR, Sport,172,short,3012538,34815,6246,0,0,78,4,3,1,0,0,2,0,0,4,5,0,0,2,1,0,0
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV (Choreography ver.), Music,171,short,2967350,329915,4264,0,4,59,1,7,4,1,4,0,1,4,4,1,5,2,0,0,3,0
Harry Kane MASTERCLASS! 🔥 Spurs beat Man City at the death! | HIGHLIGHTS | Man City 2-3 Spurs, Sport,135,short,2877347,54011,3584,0,5,67,11,5,1,1,3,0,1,0,5,0,0,0,0,0,1,0
aespa(에스파) - Dreams Come True @인기가요 inkigayo 20220109, Entertainment,226,short,2884356,130389,3336,0,4,62,14,4,1,0,2,0,1,8,1,1,0,1,0,1,0,0
[단독샷캠] 케플러 'WA DA DA' 단독샷 별도녹화│Kep1er ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,201,short,2692363,86499,1263,0,1,28,25,4,5,0,1,0,0,31,1,3,0,0,0,0,1,0
